Pos.,DriverCountry,"Driver Name","Points Driver",Constructors,"Points Constructors","Pos. Constructors","Constructors Country","Driver Surname"
23,"New Zealand",Brendon,0,"Toro Rosso",53,7,Italy,Hartley
9,Spain,Carlos,54,Renault,57,6,France,"Sainz Jr."
5,Australia,Daniel,200,"Red Bull Racing-TAG Heue",368,3,Austria,Ricciardo
19,Russia,Daniil,5,"Toro Rosso",53,7,Italy,Kvyat
8,France,Esteban,87,"Force India-Mercedes",187,4,India,Ocon
11,Brasil,Felipe,43,Williams-Mercedes,83,5,"United Kingdom",Massa
15,Spain,Fernando,17,McLaren-Honda,30,9,"United Kingdom",Alonso
-1,"United Kingdom",Jenson,0,McLaren-Honda,30,9,"United Kingdom",Button
17,"United Kingdom",Jolyon,8,Renault,57,6,France,Palmer
14,Denmark,Kevin,19,Haas-Ferrari,47,8,USA,Magnussen
4,Finland,Kimi,205,Ferrari,522,2,Italy,Räikkönen
12,Canada,Lance,40,Williams-Mercedes,83,5,"United Kingdom",Stroll
1,"United Kingdom",Lewis,363,Mercedes,668,1,Germany,Hamilton
20,Sweden,Marcus,0,Sauber-Ferrari,5,10,Switzerland,Ericsson
6,Nederland,Max,168,"Red Bull Racing-TAG Heue",368,3,Austria,Verstappen
10,Germany,Nico,43,Renault,57,6,France,Hülkenberg
18,Germany,Pascal,5,Sauber-Ferrari,5,10,Switzerland,Wehrlein
-1,"United Kingdom",Paul,0,Williams-Mercedes,83,5,"United Kingdom","di Resta"
21,France,Pierre,0,"Toro Rosso",53,7,Italy,Gasly
13,France,Romain,28,Haas-Ferrari,47,8,USA,Grosjean
2,Germany,Sebastian,317,Ferrari,522,2,Italy,Vettel
7,Mexican,Sergio,100,"Force India-Mercedes",187,4,India,Pérez
16,Belgium,Stoffel,13,McLaren-Honda,30,9,"United Kingdom",Vandoorne
22,Italy, Antonio,0,Sauber-Ferrari,5,10,Switzerland,Giovinazzi
3,Finland, Valtteri,305,Mercedes,668,1,Germany,Bottas
